canonical_name,comedytickets_event_count,city,state,disposition,matched_club_id,matched_club_name,source_platform,scraper_key,source_url,smoke_result,reason
Agora Theater & Ballroom,5,Cleveland,OH,already_covered,4599,Agora Theatre,ticketmaster,ticketmaster_comedy,,1 future show in production,Existing Cleveland venue already has a comedy-filtered Ticketmaster source.
Aquila's Nest Vineyard,11,Sandy Hook,CT,skipped_unsafe_mixed,,,,,,not smoke-tested,General vineyard/event venue; no verified first-party comedy-only source found.
Arlington Music Hall,5,Arlington,TX,skipped_unsafe_mixed,,,,ticketmaster,ticketmaster_comedy,,Ticketmaster venue ZFr9jZ1d1k returned 0 comedy events,Mixed music hall with no verified comedy-only current source.
B.B. King's Blues Club,7,Orlando,FL,skipped_unsafe_mixed,,,,ticketmaster,ticketmaster_comedy,,Ticketmaster Orlando venue KovZpZAdl7lA returned 0 comedy events,Mixed blues/restaurant venue with no verified comedy-only current source.
Bay St. Louis Little Theatre,6,Bay St. Louis,MS,skipped_unsafe_mixed,,,,,,not smoke-tested,Community theater; no verified supported comedy-only source found.
Beach Cove Resort,7,North Myrtle Beach,SC,skipped_unsafe_mixed,,,,,,not smoke-tested,Resort/event venue; no verified supported comedy-only source found.
Bottlerocket Social Hall,6,Pittsburgh,PA,skipped_unsafe_mixed,,,,ticketmaster,ticketmaster_comedy,,Ticketmaster venue Z7r9jZaAk1 returned 0 comedy events,Mixed social hall with no verified comedy-only current source.
Brignole Vineyards,6,East Granby,CT,skipped_unsafe_mixed,,,,,,not smoke-tested,General vineyard/event venue; no verified supported comedy-only source found.
Broadway Theatre of Pitman,5,Pitman,NJ,skipped_unsafe_mixed,,,,,,not smoke-tested,Mixed theater; no verified supported comedy-only source found.
Chatterbox Jazz Club,5,Indianapolis,IN,skipped_unsafe_mixed,,,,,,not smoke-tested,Jazz-first venue; no verified supported comedy-only source found.
Club 337,18,Lafayette,LA,skipped_unsafe_mixed,,,,,,not smoke-tested,General club/event room; no verified supported comedy-only source found.
Des Moines Social Club,6,Des Moines,IA,skipped_unsafe_mixed,,,,,,not smoke-tested,Venue record does not resolve to a safe current first-party comedy source.
