candidate,city,state,ct_event_count,disposition,scraper_key,first_party_url,source_url,smoke_future_shows,notes
Big Laugh Comedy Club,Fort Worth,TX,135,onboarded,json_ld,https://fortworth.blcomedy.com,https://fortworth.blcomedy.com/calendar,61,SeatEngine whitelabel domain; page emits ComedyEvent JSON-LD. seatengine/seatengine_classic keys returned 0 (calendar shape) so wired via json_ld.
Dallas Comedy Club,Dallas,TX,211,onboarded,json_ld,https://dallas-comedyclub.com,https://www.prekindle.com/events/dallas-comedy-club,535,Prekindle widget (org 531433527806655349); json_ld scraper on the Prekindle org page.
Hyena's Comedy Night Club - Albuquerque,Albuquerque,NM,59,onboarded,json_ld,https://www.hyenascomedynightclub.com/albuquerque,https://www.prekindle.com/events/hyenas-albuquerque,103,Prekindle; correct slug is hyphenated (hyenas-albuquerque). Mirrors the TASK-3588 Hyena's Fort Worth pattern.
Lafayette Comedy,Lafayette,LA,5,onboarded,json_ld,https://www.lafayettecomedy.com,https://www.lafayettecomedy.com/calendar,3,First-party JSON-LD ComedyEvent calendar; roving producer whose shows span multiple Acadiana venues (Club 337 / Fat Pat's / Fighting Hand Brewery).
High Line Comedy Club,New York,NY,6,onboarded_source_corrected,eventbrite,https://highlinecomedyclub.com,https://www.eventbrite.com/o/high-line-comedy-club-91898788783,21,Club pre-created concurrently with a broken eventbrite source (org 242807453 -> 0 shows); migration UPDATE corrects it to verified org 91898788783.
Howler Comedy Club,Lincoln,NE,5,onboarded,wix_events,https://www.howlercomedy.com,https://www.howlercomedy.com/upcoming-comedy-shows-lincoln-ne,15,Wix Events widget on the venue's own listing page.
Laughs Comedy Club,Seattle,WA,16,onboarded,the_events_calendar,https://laughscomedyclub.com,https://laughscomedyclub.com/wp-json/tribe/events/v1/events,37,WordPress + The Events Calendar (Tribe) REST feed on the first-party site.
Loony Bin Comedy Club - Little Rock,Little Rock,AR,13,onboarded,standup_media,https://lr.loonybincomedy.com,https://lr.loonybincomedy.com/events,119,StandUp Media API loc 46a4734a-d472-4d42-9712-3574fd06ed97 / dbname looneybin_prod.
Loony Bin Comedy Club - Tulsa,Tulsa,OK,34,onboarded,standup_media,https://tulsa.loonybincomedy.com,https://tulsa.loonybincomedy.com/events,141,StandUp Media API loc bca30415-8e4e-4ec5-817d-52222ac57427 / dbname looneybin_prod.
Loony Bin Comedy Club - Wichita,Wichita,KS,9,onboarded,standup_media,https://wichita.loonybincomedy.com,https://wichita.loonybincomedy.com/events,105,StandUp Media API loc bb17db1f-8d39-434b-87b2-479fa2d2ffa3 / dbname Wichita_prod. Current site address 8406 W Central Ave.
Loony Bin Comedy Club Little Rock AR,Little Rock,AR,5,duplicate_of_onboarded,standup_media,https://lr.loonybincomedy.com,https://lr.loonybincomedy.com/events,,Same venue as 'Loony Bin Comedy Club - Little Rock' (onboarded); no duplicate club inserted.
Loony Bin Comedy Club Wichita KS,Wichita,KS,5,duplicate_of_onboarded,standup_media,https://wichita.loonybincomedy.com,https://wichita.loonybincomedy.com/events,,Same venue as 'Loony Bin Comedy Club - Wichita' (onboarded); no duplicate club inserted.
Ann Arbor Comedy Showcase,Ann Arbor,MI,46,deferred_followup,etix,https://www.aacomedy.com,https://www.etix.com/ticket/v/515/ann-arbor-comedy-showcase,,etix venue 515 confirmed (official ticketing partner). Local smoke blocked by DataDome 403 (capsolver rejects etix URL); etix scraper is proven in prod for Funny Bone venues. Enable + verify on GHA in a follow-up.
New York Comedy Club - Stamford,Stamford,CT,100,deferred_followup,new_york_comedy_club,https://stamford.newyorkcomedyclub.com,https://stamford.newyorkcomedyclub.com/calendar,0,Dedicated NYCC subdomain (~38 future shows + JSON-LD). Existing new_york_comedy_club scraper returns 0 against the subdomain (NYC-only venue handling / address filter). Needs scraper change to support the Stamford subdomain (230 Tresser Blvd).
Olsen Run Comedy Club and Lounge,Eugene,OR,30,deferred_followup,shopify,https://olsenrun.com,https://olsenrun.com/collections/shows,0,Shopify products.json returns 46+ shows but the shopify scraper extracts 0 (showtime encoded outside the fields the extractor reads); no JSON-LD fallback. Needs shopify date-mapping work.
Soul Joel's Comedy Club & Lounge,Pottstown,PA,5,deferred_followup,woocommerce_store_api,https://souljoels.com,https://souljoels.com,0,WooCommerce Store API confirmed (venue moved to SunnyBrook Ballroom, Pottstown). Scraper extracted 0 showtimes (products lack structured dates). Needs woo date-extraction work.
Talk to the Moon Comedy Club,Pensacola,FL,8,deferred_followup,squarespace,https://www.talktothemooncomedyclub.com,https://www.talktothemooncomedyclub.com/shows,0,Squarespace products collection; scraper returned template/lorem-ipsum items and real shows encode the date in the title (startDate null). Needs squarespace title-date parsing.
Greenwich Village Comedy Club,New York,NY,100,deferred_followup,tessera,https://www.greenwichvillagecomedyclub.com,https://tickets.greenwichvillagecomedyclub.com/api/v1,,Tessera ticketing (same SDK/response as the existing broadway Tessera instance). Needs a new Tessera instance file pointed at tickets.greenwichvillagecomedyclub.com.
Claude's Comedy Club & Bar,Philadelphia,PA,18,unresolved,,https://claudescomedy.com,,,Brand-new venue (opening at 1123 S Broad). WordPress+WooCommerce present but unused; zero dated shows / no products / no Event schema. Revisit after it opens.
Flop House Comedy Club,Brooklyn,NY,12,unresolved,,https://flophousecomedy.com,,,First-party site is a Vue SPA served from S3 with no static feed/JSON-LD; linked Eventbrite organizer is empty. Needs live network inspection to find the runtime API.
Quezada's Comedy Club & Catina,Santa Ana Pueblo,NM,51,unresolved,,https://www.quezadas.com,,,First-party ticketing is HoldMyTicket (no supported scraper key); no JSON-LD / no ICS. Would need a new HoldMyTicket scraper (api.holdmyticket.com is a candidate).
San Antonio Improv,San Antonio,TX,55,unresolved,,,,,"Improv-branded Rivercenter venue is defunct (improv.com/sanantonio 404; old domain 301-redirects to improvtx.com/sanantonio = LOL San Antonio, the excluded venue already onboarded as club 41). No live first-party page."
"Sesh Comedy, Chrystie",New York,NY,13,unresolved,,https://seshcomedy.com,,,Hand-rolled PHP site + client-side FullCalendar; tickets route to seshtix.com (Square Online) + ShowClix/Leap. None map to a supported scraper; no JSON-LD.
Stir Crazy Comedy Club,Glendale,AZ,12,unresolved,,https://www.stircrazycomedyclub.com,,,Custom ASP.NET JS-rendered calendar with no static events/JSON-LD/ticket-domain links; only incidental third-party Eventbrite one-offs by outside promoters. Needs browser/network inspection to ID the box-office backend.
