comedytickets_name,comedytickets_id,comedytickets_event_count,comedytickets_location,category,disposition,matched_club_id,matched_club_name,db_action,enabled_source_action,reason
Bert Kreischer's Fully Loaded at Sea 2026,8304,5,"Miami, FL",festival_or_event,hidden_event_specific_cruise,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,Cruise/festival package rather than a standing venue.
"Chattanooga, TN",2264,6,"Chattanooga, TN",city_placeholder,hidden_city_placeholder,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,City-only placeholder with no safe canonical venue.
Comedy Store - Los Angeles (Belly Room),3338,5,"West Hollywood, CA",room_split,merged_alias,158,The Comedy Store,insert_club_alias,no_new_source,Room-level listing for canonical Comedy Store.
FUNY Stand Up Classes,4156,6,"New York, NY",class_or_open_mic,hidden_class_listing,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,Class product rather than a public venue calendar.
L.A. Comedy Club's Dragon Room,1126,7,"Las Vegas, NV",room_split,hidden_room_without_verified_parent,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,Room-level listing without a verified canonical LaughTrack parent in this audit.
"Lexington, KY",9660,12,"161 Lexington Green Cir # C4, Lexington, KY",city_placeholder,merged_by_physical_address,100,Comedy Off Broadway,no_db_change,no_new_source,Physical address is already covered by Comedy Off Broadway; broad city alias intentionally skipped.
Martha Vineyard Comedy Fest - Week 2,1458,5,"Oak Bluffs, MA",festival_or_event,hidden_festival_listing,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,Festival/week listing rather than a standing venue.
Neon Room at Helium Comedy Club,639,5,"Portland, OR",room_split,merged_alias,133,Helium Comedy Club - Portland,insert_club_alias,no_new_source,Room-level listing for canonical Helium Portland.
Open Mic at FUNY Stand Up Classes,731,14,"New York, NY",class_or_open_mic,hidden_open_mic_class_listing,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,Open-mic/class listing rather than a venue calendar.
Room 52,4155,26,"New York, NY",room_split,hidden_room_without_verified_parent,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,Room/stage-level listing without a verified canonical LaughTrack parent in this audit.
Seattle,14202,6,"Seattle, WA",city_placeholder,hidden_city_placeholder,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,City-only placeholder with no safe canonical venue.
Skankfest New Orleans,8193,7,"New Orleans, LA",festival_or_event,hidden_festival_listing,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,Festival listing rather than a standing venue.
Skyline Comedy Club - 7PM,2359,21,"Appleton, WI",time_slot_split,merged_alias,1057,Skyline Comedy Club,insert_club_alias,no_new_source,Time-slot split for canonical Skyline Comedy Club.
St. Louis,1091,5,"St. Louis, MO",city_placeholder,hidden_city_placeholder,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,City-only placeholder; multiple St. Louis venues exist.
"Tampa, FL",1141,7,"Tampa, FL",city_placeholder,hidden_city_placeholder,,,insert_hidden_club_and_disabled_none_source,no_enabled_source,City-only placeholder with no safe canonical venue.
Let's Comedy,,,"Fort Wayne, IN",enabled_source_cleanup,source_url_replaced,469,Let's Comedy,update_existing_scraping_source,first_party_events_url,Replaced letscomedytickets SeatEngine host with https://www.letscomedyftw.com/events while preserving SeatEngine venue id.
