canonical_name,comedytickets_event_count,corrected_city,corrected_state,corrected_country,corrected_timezone,disposition,matched_club_id,matched_club_name,source_platform,scraper_key,source_url,smoke_result,reason
3Arena,7,Dublin,,IE,Europe/Dublin,onboarded,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,8 future shows,Ticketmaster venue KovZ9177WYV returned comedy-filtered events; source is first-party supported platform rather than ComedyTickets.
Aruba Ray's Comedy Club,20,Eagle Beach,,AW,America/Aruba,documented_unsupported,,,,,,no supported generic scraper detected,Active dedicated comedy venue but first-party site did not expose a supported platform feed in this pass.
Boom Chicago,8,Amsterdam,,NL,Europe/Amsterdam,onboarded,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,19 future shows,Ticketmaster venue Z598xZbpZ7Fvk returned comedy-filtered events.
Bristol Hippodrome,5,Bristol,,GB,Europe/London,onboarded,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,5 future shows,Ticketmaster venue KovZ9177Y7f returned comedy-filtered events.
Club Regent Event Centre,5,Winnipeg,MB,CA,America/Winnipeg,onboarded,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,9 future shows,Ticketmaster venue KovZpZAEee7A returned comedy-filtered events.
Club Soda,5,Montreal,QC,CA,America/Toronto,documented_unsupported,,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,0 future shows,Ticketmaster venue exists but returned zero future comedy events; first-party site did not expose another supported feed.
Comedy Bar - Danforth,26,Toronto,ON,CA,America/Toronto,documented_unsupported,,,,,,custom first-party app,First-party site is a custom booking surface with no existing reusable scraper or supported platform signal.
Comedy Bar - Toronto,14,Toronto,ON,CA,America/Toronto,documented_unsupported,,,,,,custom first-party app,First-party site is a custom booking surface with no existing reusable scraper or supported platform signal.
Edinburgh Playhouse,6,Edinburgh,,GB,Europe/London,onboarded,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,8 future shows,Ticketmaster venue KovZ9177mi7 returned comedy-filtered events.
Elgin and Winter Garden Theatre Centre,6,Toronto,ON,CA,America/Toronto,documented_unsupported,,,,,,no supported generic scraper detected,No Ticketmaster venue match and no supported first-party platform feed verified in this pass.
Eventim Apollo,12,London,,GB,Europe/London,onboarded,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,20 future shows,Ticketmaster venue KovZpZAtadaA returned comedy-filtered events.
Hotel Blackfoot,5,Calgary,AB,CA,America/Edmonton,covered_by_laugh_shop,,,,,,covered by Laugh Shop Calgary,Laugh Shop Calgary is the comedy venue at Hotel Blackfoot and is onboarded separately with Showpass.
House of Comedy New Westminster BC,7,New Westminster,BC,CA,America/Vancouver,already_covered,2357,House of Comedy British Columbia,custom,tixr,https://www.pixlcalendar.com/api/events/house-of-comedy-bc,existing enabled source,Alias to existing House of Comedy British Columbia; no duplicate insert.
L'Olympia,7,Montreal,QC,CA,America/Toronto,onboarded,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,35 future shows,Ticketmaster venue KovZpa3Dre returned comedy-filtered events.
Laugh Lounge,5,Ottawa,ON,CA,America/Toronto,documented_unsupported,,,,,,no supported generic scraper detected,Active dedicated comedy venue but first-party site did not expose a supported platform feed in this pass.
